comment_text,clean_text,sentiment
"RT @Kal1699: @MT8_9 I can't favorite enough! What reproductive rights do men have? None! ""Keep in your pants!"" ""Takes two to tango!"" ""Men s…",rt i can t favorite enough what reproductive rights do men have none keep in your pants takes two to tango men s,positive
"@aamattyhealy Bet I can prove that you, like most feminists, oppose equality quickly, A B or C? #WomenAgainstFeminism http://t.co/QFTAQLYtNd",bet i can prove that you like most feminists oppose equality quickly a b or c womenagainstfeminism,positive
God her smile is bad.... #MKR,god her smile is bad mkr,neutral
"RT @fee_bee_63: Kat - you're not a morning, lunchtime, evening person either. I'm not sure you're human. #mkr",rt kat you re not a morning lunchtime evening person either i m not sure you re human mkr,negative
Um @Iaaine i m not sexist but there are somethings girls just shouldnt do,um i m not sexist but there are somethings girls just shouldnt do,neutral
"RT @trinnybopper: ""We want to stay in this competition because we haven't finished telling everyone how pretty we are"" #mkr",rt we want to stay in this competition because we haven t finished telling everyone how pretty we are mkr,positive
"RT @TheBaysAwesome: I'm not sexist, but the stereotypical girls of the 21st century, gain their online grammar at age 18. The ones with sho…",rt i m not sexist but the stereotypical girls of the st century gain their online grammar at age the ones with sho,positive
“@Forking_Awesome: Hey Colin... The 1980s called. They want their pushed up jacket sleeves back #MKR” Miami Vice Rules!!,hey colin the s called they want their pushed up jacket sleeves back mkr miami vice rules,positive
"@ElizabethHobso6  I remember you praising a French feminist as being a good fem like CHS, what was her name again?",i remember you praising a french feminist as being a good fem like chs what was her name again,positive
RT @THTwig: Feminists have zero empathy for male survivors | #FeminismIsAwful #MRA #MensRights #WomenAgainstFeminism http://t.co/C045p2RSmM,rt feminists have zero empathy for male survivors feminismisawful mra mensrights womenagainstfeminism,neutral
"this is total  BS - I don't know if  I can stand anymore of the Butchers of Bimbo.
weaning off #MKR",this is total bs i don t know if i can stand anymore of the butchers of bimbo weaning off mkr,neutral
@fatslags_ad I know...that's the goal.  I'm here to expose their lack of sense.,i know that s the goal i m here to expose their lack of sense,negative
RT @JL_Whitaker: Who is writing the bimbolines? #mkr,rt who is writing the bimbolines mkr,neutral
"@amsatweet I'm evil lol they are not models, they hand out free crap in. Night clubs lol #MKR #slaggyNOTsassy",i m evil lol they are not models they hand out free crap in night clubs lol mkr slaggynotsassy,negative
"RT @Druid2555: @HandzOfZeus @MT8_9 @TrainInVainn I forgot the name of the one I personally talked to,but ill try and get it later. http://t…",rt i forgot the name of the one i personally talked to but ill try and get it later,negative
"RT @SAMhuz33 A ghostbusters remake with Women taking up the roles of ghoul slaying saviours? I'm no sexist, but let's not be stupid, eh?",rt a ghostbusters remake with women taking up the roles of ghoul slaying saviours i m no sexist but let s not be stupid eh,positive
"RT @tobyrobertbull: @YesYoureSexist R U saying men piss in restaurants all the time without comment, but as soon as a woman does, there's c…",rt r u saying men piss in restaurants all the time without comment but as soon as a woman does there s c,negative
"RT @missclarolyn: You didn't give me a deconstructed lemon tart, but have a 7 anyway, for the item that wasn't on the menu #MKR",rt you didn t give me a deconstructed lemon tart but have a anyway for the item that wasn t on the menu mkr,neutral
Is it lost on most #QuestionsForMen was essentially Ford's way of exempting her schlocky clickbait from criticism? http://t.co/29pgEhzUQT,is it lost on most questionsformen was essentially ford s way of exempting her schlocky clickbait from criticism,negative
"RT @danhickey2199: #MKR #killerblondes fat arms, bad teeth and a MASSIVE arse what the hell is that Katie a promo girl/model of?",rt mkr killerblondes fat arms bad teeth and a massive arse what the hell is that katie a promo girl model of,negative
RT @TooSexist: Feminists logic http://t.co/ZgvJRA73fb,rt feminists logic,neutral
"@SirScatters @nonirishpaddy Oh, missed that part of it.  No...no reason to get physical.",oh missed that part of it no no reason to get physical,negative
"RT @whyisitdirty: If feminists addressed the rampant sexism and misandry in #feminism, then perhaps #WomenAgainstFeminism and #antifeminism…",rt if feminists addressed the rampant sexism and misandry in feminism then perhaps womenagainstfeminism and antifeminism,neutral
"RT @Justin_DvG: @UberFacts this is why DC &gt;&gt;&gt; Marvel. I'm not sexist but this, this is stupid",rt this is why dc gt gt gt marvel i m not sexist but this this is stupid,negative
"RT @Tom_Greenbean I'm not sexist, but women should not be refs",rt i m not sexist but women should not be refs,neutral
"RT @sir_lummox: @RichardMeal ""Well son, you've scored a shitload of goals for the youth team, but we can't make you professional, because y…",rt well son you ve scored a shitload of goals for the youth team but we can t make you professional because y,positive
"RT @grexican: @YesYoureSexist Sorry, I won't use facts next time. I'll just go with the rest of the masses who think there are NO differenc…",rt sorry i won t use facts next time i ll just go with the rest of the masses who think there are no differenc,positive
"those blond girls make me crazy, they are so annoying #mkr",those blond girls make me crazy they are so annoying mkr,negative
"Wow, NO @mikehomosapien @sie_kensou77 @TrustedTrevor todays feminist thinks ""teach men not to rape"" is not sexist but it is",wow no todays feminist thinks teach men not to rape is not sexist but it is,positive
RT @justin13j Do women announcers annoy anyone but me? #NBA #notsexist,rt do women announcers annoy anyone but me nba notsexist,negative
"RT @HannahCamille20: Call me sexist, but females really need to stop acting like they are big football fans. Just stop.",rt call me sexist but females really need to stop acting like they are big football fans just stop,negative
RT @noshirtkurt_ you are what's wrong with America. Periods aren't excuses to go home early.,rt you are what s wrong with america periods aren t excuses to go home early,negative
BITCH #KAT #MKR @mykitchenrules,bitch kat mkr,negative
".@Femitheist @ktonieskacze Hard to say w/o knowing if avg. welfare w/o a dad is &gt; or &lt; avg. CS payment.  If less, it would REDUCE incentive.",hard to say w o knowing if avg welfare w o a dad is gt or lt avg cs payment if less it would reduce incentive,positive
Still moist and juicy... Let's take a selfie.. #MKR,still moist and juicy let s take a selfie mkr,neutral
"""its gonna be elegant and beautiful just like us"" lol nah #MKR #katieandnikki",its gonna be elegant and beautiful just like us lol nah mkr katieandnikki,positive
"RT @uberfeminist: Why are the dudebros at the office not inviting you to poker and scotch night? Gee, what a mystery #TwitterFeminism",rt why are the dudebros at the office not inviting you to poker and scotch night gee what a mystery twitterfeminism,negative
Turing test: Failed @Mike_Ltfu_Brown Not sexist but America will not be taken seriously if we have Hillary Clinton becomes president,turing test failed not sexist but america will not be taken seriously if we have hillary clinton becomes president,negative
"We can't even fucking ride bikes now? What the shit is this? @james19XX I'm not sexist, but girls riding bikes just looked weird af.",we can t even fucking ride bikes now what the shit is this i m not sexist but girls riding bikes just looked weird af,positive
"RT @Jcow90 I'm not sexist, but I hate female vocalists normally, except Haley Williams from paramore. Chicks got some pipes on her",rt i m not sexist but i hate female vocalists normally except haley williams from paramore chicks got some pipes on her,positive
Kat is a sociopath #mkr,kat is a sociopath mkr,neutral
RT http://t.co/3bvazJfhS4 @CyCopplelops Call me sexist but men will always be superior drivers,rt call me sexist but men will always be superior drivers,positive
RT @Riqo_live I'm not sexist but i cant fall asleep if a females driving unless I'm on a xan,rt i m not sexist but i cant fall asleep if a females driving unless i m on a xan,neutral
Kel the butcher has never heard of these silly sausages on #mkr http://t.co/CHGKB1rirW,kel the butcher has never heard of these silly sausages on mkr,neutral
RT @OhSoSoftley: @YesYoureSexist go suck your mother you hairy feminist fat fuck,rt go suck your mother you hairy feminist fat fuck,negative
"RT @S_R_Fernando: @UnfinishedToday Ah, you're a #feminist? Seeing #sexism everywhere then, do check my tweets before you call me #sexist Yo…",rt ah you re a feminist seeing sexism everywhere then do check my tweets before you call me sexist yo,neutral
"Surprised the ""models"" don't know how to dress with style  #mkr",surprised the models don t know how to dress with style mkr,positive
RT @LisaStanbridge: Nikki's pouting is annoying me. I'm ready to wipe it off and kick her off the show! #MKR,rt nikki s pouting is annoying me i m ready to wipe it off and kick her off the show mkr,negative
Kat you don't look suspicious at all!  #MKR,kat you don t look suspicious at all mkr,negative
"#MKR Lloyd likes some thick juicy pork, poor Annie",mkr lloyd likes some thick juicy pork poor annie,negative
@ErikaLopezDurel Bad seeds grow weeds.  Must be rooted out first or else you'd foundation cracks.,bad seeds grow weeds must be rooted out first or else you d foundation cracks,negative
"the theme for their instant restaurant appears to be ""barbie's dream narcissism kitchen"" 💋 #MKR",the theme for their instant restaurant appears to be barbie s dream narcissism kitchen mkr,positive
@RandomHero30 @rooshv @minasmith64 Who was she raped by?,who was she raped by,negative
RT @walkaway21 Not sexist. But there's nothing that annoys me more than female sports writers who cover mens sports.,rt not sexist but there s nothing that annoys me more than female sports writers who cover mens sports,positive
"RT @ZStonecipher: Half the time when I read a girls tweet I read like the dude in ""Sh*t sorority girls say"" video on YouTube. #notsexist #j…",rt half the time when i read a girls tweet i read like the dude in sh t sorority girls say video on youtube notsexist j,positive
LMFAO @BrandonHonaker1 LMFAO who cares about the women UFC title match not sexist but seriously no one cares lol.,lmfao lmfao who cares about the women ufc title match not sexist but seriously no one cares lol,positive
"@NatalieTudor But, do they even interview the men?  If so, about what?",but do they even interview the men if so about what,neutral
"I hope Kat &amp; Andre choke on a d*ck and die. Even tho I don't like the other apparent ""models"" they always scored fairly #mkr #mkr2015",i hope kat amp andre choke on a d ck and die even tho i don t like the other apparent models they always scored fairly mkr mkr,negative
"RT @lismarie56: Oh, you're humiliated Kat? We've been embarrassed for you ever since this show started #mkr #MKR2015",rt oh you re humiliated kat we ve been embarrassed for you ever since this show started mkr mkr,negative
RT @charlwhat HOLY FUCK IM NOT SEXIST BUT ALOT OF WOMEN CANNOT FUCKING DRIVE,rt holy fuck im not sexist but alot of women cannot fucking drive,negative
RT @jondogg_sports: Working with females is difficult. Have to walk on eggshells as to not offend them. No I'm not a sexist person. I'm tal…,rt working with females is difficult have to walk on eggshells as to not offend them no i m not a sexist person i m tal,positive
"RT @aliffabr You're a moderator of a BIGBANG fansite, shouldn't you be more objective? Seriously, sometimes girls can't think properly.",rt you re a moderator of a bigbang fansite shouldn t you be more objective seriously sometimes girls can t think properly,negative
"RT @RenaissanceReez Not sexist, but I promise women live gullibly Always seeing things how they want them to be instead of the reality",rt not sexist but i promise women live gullibly always seeing things how they want them to be instead of the reality,negative
Look mum.. Left right left right.. I'm a model.. No sweetie you're a promo girl... Here's your bikini go sell some shots! #MKR,look mum left right left right i m a model no sweetie you re a promo girl here s your bikini go sell some shots mkr,positive
"@boxedariel So...is the answer ""nothing""?",so is the answer nothing,neutral
"@AnonMnom Yeah but ur irrelevant &amp; relevant but old/isolated/fits the definition of ""the exception that proves the rule"" 2 more than I find.",yeah but ur irrelevant amp relevant but old isolated fits the definition of the exception that proves the rule more than i find,negative
".@knux1995 No, no...this is my view on how to move equality forward.  Must root out those who claim equality while working against it.",no no this is my view on how to move equality forward must root out those who claim equality while working against it,negative
"Hehehe Lloyd's balls were dry, I bet he's heard that before #mkr",hehehe lloyd s balls were dry i bet he s heard that before mkr,neutral
"RT @BozTheKid: Not sexist, but some of these women act just plain stupid. 100s of years fighting for equality, and you're gonna play dumb? …",rt not sexist but some of these women act just plain stupid s of years fighting for equality and you re gonna play dumb,negative
@mykitchenrules #MKR I hate Kat. She is awful.,mkr i hate kat she is awful,negative
Someone get kat out of this competition now!! #mkr,someone get kat out of this competition now mkr,neutral
0 women care bout ur preferences @Mickeyzor call me sexist or whatever but I think muscular female bodies look awful and are such a turn off,women care bout ur preferences call me sexist or whatever but i think muscular female bodies look awful and are such a turn off,negative
@NUBionicwoman Is it wrong to argue by implying the other person cannot get laid?,is it wrong to argue by implying the other person cannot get laid,negative
RT @dairemaureen I just think Men are better Comedians....#sns #notsexist,rt i just think men are better comedians sns notsexist,positive
"@p4ndiamond Was on a Russian site once.  It was either Meninism or UVA Hoax, I think.",was on a russian site once it was either meninism or uva hoax i think,negative
RT @stephenpeel1: It's National Kit Kat day in Belarus. Go on treat ur girlfriend or wife and ask them if they 'Fancy a finger'! #notsexist,rt it s national kit kat day in belarus go on treat ur girlfriend or wife and ask them if they fancy a finger notsexist,positive
"RT @jarod_frye: @MT8_9 @robinashe @hayleyjoness Actually I have. The same thing happens to African Americans, Spanish, and other minorities.",rt actually i have the same thing happens to african americans spanish and other minorities,neutral
"Pretty sure the number of holes is constant @ashleekelts ""this road has more holes in it than a whore has on a saturday night."" -kaylies dad",pretty sure the number of holes is constant this road has more holes in it than a whore has on a saturday night kaylies dad,positive
"For 1, men r REALLY good at spouting sexism @daibhidc Second guy: I'm not sexist, but I do think men and women are good at different things.",for men r really good at spouting sexism second guy i m not sexist but i do think men and women are good at different things,positive
"RT @RussellEElliott: So someone just told me that #feminism = ""lying communists who oppose equality"". Can you believe people this BS? http:…",rt so someone just told me that feminism lying communists who oppose equality can you believe people this bs,negative
RT @danhickey2199: #MKR #killerblondes the only way these girls are staying is if they blow every bloke in the room. So they're still in wi…,rt mkr killerblondes the only way these girls are staying is if they blow every bloke in the room so they re still in wi,neutral
I'll say it if no one else will......that Kat needs serious medication #MKR #MKR2015,i ll say it if no one else will that kat needs serious medication mkr mkr,negative
@DifoolJohn @ElizabethHobso6 Then I have no idea.,then i have no idea,negative
"@Allehegens Walker is clearly the one Dems fear.  I don't know much about him, either.",walker is clearly the one dems fear i don t know much about him either,negative
RT @JackofLondon: “@myallsw: Nice arm pit vagina #MKR http://t.co/sv9HLKQ2aM” It's deconstructed.,rt nice arm pit vagina mkr it s deconstructed,positive
TELL ME MORE @ohthatliamm I'm not sexist but I don't think I actually find any female comedian funny,tell me more i m not sexist but i don t think i actually find any female comedian funny,positive
#MKR @mykitchenrules I hope Kat (The cat) and Andre lose and leave the show. Kat is a nasty piece of work who can't win fairly,mkr i hope kat the cat and andre lose and leave the show kat is a nasty piece of work who can t win fairly,positive
"No brain, no concussion! @CFCFanatic Not sexist but girls should be allowed in football shows only if they have brains.",no brain no concussion not sexist but girls should be allowed in football shows only if they have brains,negative
RT @AverageSpursfan I'm not sexist but fuck me half of the women yids on Twitter are fucking clueless,rt i m not sexist but fuck me half of the women yids on twitter are fucking clueless,neutral
"@OrangePuck By that definition, Jim Rutherford is a Ducks fan...that explains everything.",by that definition jim rutherford is a ducks fan that explains everything,positive
Kat has an amazing future after #mkr I think a role as wicked step mother..... She just needs to age a bit,kat has an amazing future after mkr i think a role as wicked step mother she just needs to age a bit,positive
@mary__kaye she's always hideous! #mkr,she s always hideous mkr,neutral
@SweetWalkTalk Not when it just ends in rape charges...,not when it just ends in rape charges,negative
"I suppose Kat thinks it's ""unfair"" like every other time her 'yuck food' has been given bad critique?Shes like a child! Stop bitching! 😤#mkr",i suppose kat thinks it s unfair like every other time her yuck food has been given bad critique shes like a child stop bitching mkr,negative
@willberthelot @naaadnerb Deadbeat dad-ism is ILLEGAL.  This is the LEGAL system screwing him.,deadbeat dad ism is illegal this is the legal system screwing him,negative
RT @Ratchlex It's always fun watching sports w a woman in the room #myaunt #notsexist,rt it s always fun watching sports w a woman in the room myaunt notsexist,positive
"#DontDateSJWs unless you want them to date you, bang you, call you, stalk you THEN cry rape &amp; do ""performance art"". http://t.co/vRPol5nc67",dontdatesjws unless you want them to date you bang you call you stalk you then cry rape amp do performance art,negative
"""I'm not sexist, I just become instantly virulent against women who accuse me of sexism.""",i m not sexist i just become instantly virulent against women who accuse me of sexism,negative
RT @pmb527: #GamerGate obviously Madden is a sexist video game series that refuses to add female characters. #TweetLikeAFeminist,rt gamergate obviously madden is a sexist video game series that refuses to add female characters tweetlikeafeminist,neutral
Just read the #killerblondes get through. Switching off. #MKR,just read the killerblondes get through switching off mkr,neutral
@UndeadTurning @AsheSchow read her TL for many great stories.,read her tl for many great stories,positive
RT @m13rcus I'm not sexist but feminists annoy the shit out of me,rt i m not sexist but feminists annoy the shit out of me,positive
Kat I'd love to slap your face with a pork cutlet #MKR,kat i d love to slap your face with a pork cutlet mkr,positive
.@mark_kaiserr Im not sexist but every food place I work at the girls come in for a couple hours to answer phones &amp; complain the entire time,im not sexist but every food place i work at the girls come in for a couple hours to answer phones amp complain the entire time,negative
@CampbellPaton I'm not sexist but the Canadian anthem should not be changed... It's tradition we all know now that men and women are equal.,i m not sexist but the canadian anthem should not be changed it s tradition we all know now that men and women are equal,neutral
@halcyon2001 @mykitchenrules she's NO relative of mine her surname is different #KatTheCunt #MKR,she s no relative of mine her surname is different katthecunt mkr,negative
@TamedInsanity Jessica is a special type of human feces.,jessica is a special type of human feces,positive
RT @WisNasty2point0 I'm not sexist but I really don't get it when girls are just like completely incompetent in the kitchen,rt i m not sexist but i really don t get it when girls are just like completely incompetent in the kitchen,negative
RT @HotTakeGamer: The 'feminist' opposition to #GamerGate is just another example of privileged women damseling to gain moral authority the…,rt the feminist opposition to gamergate is just another example of privileged women damseling to gain moral authority the,positive
"""@thisonesakillaa: In my opinion? All jokes are ok. Nothing should be off-limits to joke about. Just pointing out hypocrisies"" #SorryItsABoy",in my opinion all jokes are ok nothing should be off limits to joke about just pointing out hypocrisies sorryitsaboy,positive
RT @DOCTOR___J I swear I'm not sexist but get these ladies outta here when it comes to football,rt i swear i m not sexist but get these ladies outta here when it comes to football,neutral
RT @nyami247 Tattoos are disgusting on women. Not sexist but it's true,rt tattoos are disgusting on women not sexist but it s true,positive
RT @marquesdaryl: I'm not sexist. But there is no chance in hell I'm letting a girl beat me at anything. Sorry,rt i m not sexist but there is no chance in hell i m letting a girl beat me at anything sorry,negative
"@The_Loki_Jotunn @BristolBen @Oneiorosgrip That might be Poe, just FYI.  I think that was the quote of hers that couldn't be verified.",that might be poe just fyi i think that was the quote of hers that couldn t be verified,positive
RT @IanPipebomb Beth Mowins voice annoys the living hell out of me. #mute #espn #BeefOBradysBowl #BeefsBowl #notsexist #justsaying,rt beth mowins voice annoys the living hell out of me mute espn beefobradysbowl beefsbowl notsexist justsaying,negative
RT @travisnashh: @YesYoureSexist because you hate a group doesn't make you sexist dumbass,rt because you hate a group doesn t make you sexist dumbass,negative
@amberhasalamb  Separate conversations.  She told a guy concerned about circumcision that he can't get laid.  Exactly what she whined about.,separate conversations she told a guy concerned about circumcision that he can t get laid exactly what she whined about,negative
@TooPawned Or grab a camera...,or grab a camera,neutral
RT @Missy310588: Double drool! Colin and Manu 😻 #MKR @manufeildel @FourinHand @mykitchenrules,rt double drool colin and manu mkr,neutral
So bummed the dull chicks on #MKR are using such a great name for their restaurant. #Sassy #Iamlatetothepartytonight #IQ,so bummed the dull chicks on mkr are using such a great name for their restaurant sassy iamlatetothepartytonight iq,positive
"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015",sauce capsicum and stock from a packet jar the quality of cooking i expected double standards from the promo girls mkr mkr mkr,neutral
RT @Travieee23 I can't stand women commentators in football. I'm not sexist. Just not football.,rt i can t stand women commentators in football i m not sexist just not football,neutral
RT @reptarfanatic: I'm not sexist but why are there 8 girls in the weight room. 32% no way,rt i m not sexist but why are there girls in the weight room no way,negative
"Kat calls it strategic, I call it being a biatch! #mkr http://t.co/zVCx6kVAIV",kat calls it strategic i call it being a biatch mkr,neutral
"""No offense."" @NigelBigMeech I'm not sexist but women are really stupid no offense",no offense i m not sexist but women are really stupid no offense,negative
RT @JRamirez_3 I'm not sexist... But why the heck do I have a girl as my personal trainer..??,rt i m not sexist but why the heck do i have a girl as my personal trainer,neutral
RT @ryangowan29 I'm not sexist but i hate serving women! They're so unbelievanly fussy about their drinks,rt i m not sexist but i hate serving women they re so unbelievanly fussy about their drinks,positive
"Has to be a parody account. @TheHout I'm not sexist, but women just shouldn't be sports announcers.",has to be a parody account i m not sexist but women just shouldn t be sports announcers,neutral
@mykitchenrules now would have been a great time to throw in a surprise elimination to get rid of those b*tches #MKR #whatajoke,now would have been a great time to throw in a surprise elimination to get rid of those b tches mkr whatajoke,positive
"RT @ur_so_vanilla: Nikki &amp; Katie, didn't your 'love for boys' teach you that no two sausages are ever same? Especially Eastern European one…",rt nikki amp katie didn t your love for boys teach you that no two sausages are ever same especially eastern european one,positive
@anniekfox Who would that be?,who would that be,neutral
YOU'RE SO POPULAR @isaaaacdavid Just snapchatted every girl in my phone and told them to make me dinner. Lol #notsexist,you re so popular just snapchatted every girl in my phone and told them to make me dinner lol notsexist,positive
"RT @HajiIshak1: RT @deaannnaa_:Katie and Nikki are frkn annoying stfu #MKR you're not even hot lol stop
 RT:@.vid.http://t.co/cRzO2P219y",rt rt katie and nikki are frkn annoying stfu mkr you re not even hot lol stop rt vid,negative
Have fun on the wrong side of history @MCAcapello All female Ghostbusters. No I am not sexist but fuck that shit.,have fun on the wrong side of history all female ghostbusters no i am not sexist but fuck that shit,negative
http://t.co/5a8IkXqSIx @anandkothekar #ArnabGoswami is a woman. Just can't stop talking. #NotSexist,arnabgoswami is a woman just can t stop talking notsexist,negative
"RT @TayRaeAye: Call me sexist or whatever but men shouldn't telecast women sports, and women shouldn't telecast men sports. #sorrynotsorry",rt call me sexist or whatever but men shouldn t telecast women sports and women shouldn t telecast men sports sorrynotsorry,neutral
RT @ManBot6000: #WhatFeminismGaveMe http://t.co/Pf1bdXdwWQ,rt whatfeminismgaveme,neutral
"@stevenbirt4real @Phasmatis75 @SirScatters @LostSailorNY To some, yeah...",to some yeah,positive
RT @Yo_aRob Some of y'all girls should be nuns for Halloween cause y'all been hoes all year round.,rt some of y all girls should be nuns for halloween cause y all been hoes all year round,neutral
"Has there been a more genuinely hate worthy individual than that goblin, Kat? #MKR",has there been a more genuinely hate worthy individual than that goblin kat mkr,negative
"RT @NikFuq Is it really woman's month?? I'm not sexist, but how come men don't get one??? Some of my bestfriends are woman btw.",rt is it really woman s month i m not sexist but how come men don t get one some of my bestfriends are woman btw,neutral
RT @B_Eds517 I'm not sexist but damn why do they let Females act like they know basketball...,rt i m not sexist but damn why do they let females act like they know basketball,positive
"RT @DufresneFrank: “@gabystama: @DufresneFrank @MT8_9 it's a great website, use it” omg you are right! It is great! http://t.co/FMOhTrpJkN",rt it s a great website use it omg you are right it is great,positive
"RT @martyncapp26 I can't take that female sky sports commentator seriously, she just said boom. #notsexist",rt i can t take that female sky sports commentator seriously she just said boom notsexist,negative
"RT @jcantrell12: For the record, I'm not sexist. But if you can prove me wrong about female comedians, I'll make a formal apology to the wo…",rt for the record i m not sexist but if you can prove me wrong about female comedians i ll make a formal apology to the wo,negative
@Mich_McConnell @TamedInsanity In terms of what?  Measured how?,in terms of what measured how,neutral
@NoBullshitGamin ...not what I'm looking at.  No.,not what i m looking at no,negative
"RT @stir_frie I'm not sexist but only girls should wear earrings, it just looks wrong on guys",rt i m not sexist but only girls should wear earrings it just looks wrong on guys,negative
"""Your sausage was a little bit short"" bet Colin's been told that before #MKR",your sausage was a little bit short bet colin s been told that before mkr,neutral
RT @frankteezy Call me sexist but I don't think I wanna see a women president at this stage in my life,rt call me sexist but i don t think i wanna see a women president at this stage in my life,neutral
They're staying...just so that the producers can have a showdown between them and the posh bitches #mkr #bringit,they re staying just so that the producers can have a showdown between them and the posh bitches mkr bringit,negative
RT @JustLaurenB: #IDontNeedFeminism http://t.co/euBRYUJlUW,rt idontneedfeminism,neutral
RT @pckeane2014: Kats the kind of person that would cheat to win and then still think that made her a better cook. So my new baddie #MKR,rt kats the kind of person that would cheat to win and then still think that made her a better cook so my new baddie mkr,positive
RT @GUYFIERl Women shouldnt rap its gross #notsexist,rt women shouldnt rap its gross notsexist,positive
RT @MadJoyPad: I'm not sexist or a scientist or researcher but the stuff girls write and put on social networks is evidence that men are sm…,rt i m not sexist or a scientist or researcher but the stuff girls write and put on social networks is evidence that men are sm,neutral
Kat from MKR is a smirking bogan. Please go. #mkr,kat from mkr is a smirking bogan please go mkr,positive
RT @MeninistTweet: Ariana Grande has no chill lmao http://t.co/EJnzXS088U,rt ariana grande has no chill lmao,positive
"I vote for #cuntandandre &amp; Annie/Lloyd cook off
Shit vs shit
#mkr",i vote for cuntandandre amp annie lloyd cook off shit vs shit mkr,negative
"Omfg ""taste and swallow"". Quote. Of. The. Year. #mkr2015 #mkr #mykitchenrules",omfg taste and swallow quote of the year mkr mkr mykitchenrules,neutral
"Katie &amp; Nikki's next job will be playing ""people who stuff up simple tasks"" on Infomercials #MKR",katie amp nikki s next job will be playing people who stuff up simple tasks on infomercials mkr,positive
"@LFESexuality So, you oppose #NoMorePage3 and the feminists trying to ban it, right?",so you oppose nomorepage and the feminists trying to ban it right,negative
RT @M3gaToxic: @TheSavageHelios @gamespot Yep. Not sexist but women need to chill out. Us guys get called many things online and we just br…,rt yep not sexist but women need to chill out us guys get called many things online and we just br,positive
"Men who use the word ""ladies,"" omfg @THEBOSSJIMMBO This is not sexist, but ladies are pretty bad at driving.",men who use the word ladies omfg this is not sexist but ladies are pretty bad at driving,negative
"RT @LouisRITHPotter I'm not sexist, but sometimes women proper need to stfu http://t.co/mgTp6Tst9N",rt i m not sexist but sometimes women proper need to stfu,neutral
